customer_id,customer_name,email,phone_number,address,customer_since
"1","Lorena Moore","April.Swift@hotmail.com","(541) 231-3652","649 Durgan Walk Apt. 344","2023-02-23"
"2","Lynda Gusikowski","Agustin24@hotmail.com","1-493-588-7485 x8168","55630 5th Street Suite 608","2020-11-30"
"3","Thomas Feest","Cassidy_Gibson@hotmail.com","(456) 657-8083 x2331","9018 Lemke Fork Apt. 452","2023-12-04"
"4","Manuel Cummerata","Jarvis14@hotmail.com","820-395-3916 x049","8552 Terrell Manors Suite 583","2024-11-01"
"5","Faye Kuhn MD","Emie.Volkman37@yahoo.com","(416) 608-8035","3841 Runolfsdottir Dam Apt. 799","2025-07-29"
"6","Sylvia Kihn","Billie85@hotmail.com","(246) 679-9122 x552","2529 Mitchel Knoll Suite 771","2022-05-31"
"7","Nelson Walker","Nadia.Grady76@yahoo.com","723-906-0001","1580 Name Expressway Suite 904","2022-06-08"
"8","Laurence Bartell III","Xzavier48@gmail.com","1-675-678-1062 x7726","1309 Bluebell Close Suite 657","2022-04-28"
"9","Lucille Will Sr.","Katheryn41@yahoo.com","(774) 539-4935 x628","973 Cassin Stream Suite 950","2021-01-16"
"10","Rickey Collins","Sherwood33@yahoo.com","1-395-797-7921 x06976","360 Libby Mall Apt. 709","2024-10-25"
"11","Peggy Walsh IV","Mikayla92@gmail.com","1-660-853-8731","43420 Meagan Unions Apt. 407","2024-12-17"
"12","Vivian Borer","Vada.Hyatt89@hotmail.com","231.680.6338 x135","954 Conn Pass Suite 257","2022-01-08"
"13","Mr. Wilbur Leuschke","Jazlyn77@hotmail.com","592-829-0832","1580 Becker Ferry Suite 290","2023-08-21"
"14","Beverly Kerluke","Mireya.Ernser94@hotmail.com","602-360-4207 x9845","280 Beech Grove Suite 627","2023-05-08"
"15","Kristine Krajcik","Andy46@gmail.com","1-441-683-6088 x2055","9098 Block Corners Apt. 437","2024-05-14"
"16","Woodrow Wiegand","Ciara.Daugherty13@yahoo.com","1-777-839-9598 x8537","220 W Jefferson Street Apt. 326","2025-05-28"
"17","Jesse Cummings","Ricky_Hammes73@hotmail.com","1-673-972-6656","3046 Hauck Ramp Apt. 439","2021-08-16"
"18","Dorothy Feil","Shakira.Harris@gmail.com","(724) 365-0203 x1953","61790 Mary Loop Apt. 219","2025-07-27"
"19","Gregg Moen","Aaliyah.Becker@gmail.com","507-298-8304","5715 Schoen Place Suite 653","2021-11-21"
"20","Michael Waelchi-Pagac","Pasquale_Carter90@hotmail.com","1-745-998-6566 x50357","36163 1st Street Suite 825","2021-12-16"
"21","Elaine Kris","Bud.Franey@hotmail.com","1-867-883-6049 x5512","1186 Cedar Road Apt. 105","2025-01-05"
"22","Mrs. Kristi Hirthe","Ofelia81@yahoo.com","1-846-809-4894 x86124","85116 Rodger Route Suite 652","2021-08-30"
"23","Jack Rath","Josefina79@yahoo.com","938.916.6502 x6947","785 Daugherty Underpass Apt. 845","2020-12-01"
"24","Jordan Feest","Wyman17@hotmail.com","(387) 230-4193","83272 Maple Drive Suite 261","2022-01-05"
"25","Catherine Osinski","Ayden_Bosco@gmail.com","660-456-1455 x0231","70767 St John's Road Suite 550","2025-06-17"
"26","Daryl Schowalter","Rodger62@gmail.com","1-846-365-9504 x6320","78325 Krystel Meadow Suite 217","2023-05-04"
"27","Wanda Hand","Amina_Kutch49@gmail.com","913.817.7940 x55514","4755 Estella Summit Suite 617","2024-07-17"
"28","Gladys Feest","Zoila.Armstrong32@hotmail.com","1-658-695-1498 x5336","503 E Washington Street Suite 360","2020-10-26"
"29","Shannon Corkery","Jeffery57@gmail.com","513-917-0885 x815","350 King's Road Suite 628","2021-08-11"
"30","Juana Maggio","Santa_Haag32@yahoo.com","847.343.2083 x94593","721 The Crescent Suite 458","2021-03-26"
"31","Dwayne Nitzsche","Shawn_Swift@yahoo.com","504-893-2879 x1784","18295 Effertz Causeway Apt. 559","2021-04-28"
"32","Louis Jones","Nicklaus23@hotmail.com","333-972-2714 x48538","73983 Castle Road Apt. 134","2021-04-04"
"33","Robin Mraz","Terrence_Kessler@yahoo.com","1-228-262-0568 x1416","61170 Blanca Springs Suite 124","2023-08-05"
"34","Lynn Skiles","Florian92@hotmail.com","728-876-9267 x9173","74975 Ledner Groves Suite 499","2022-09-22"
"35","Blanche Farrell","Scot.Hayes7@hotmail.com","1-388-321-8416","46633 Melba Cove Apt. 960","2025-09-15"
"36","Freda Brown","Mariam_Dooley-Hackett@hotmail.com","332-232-9263 x931","273 Center Street Suite 540","2024-12-26"
"37","Nick Sawayn","Leta11@hotmail.com","(820) 609-1848 x5638","9832 Abraham Spurs Suite 432","2022-10-20"
"38","Alexis Gislason","Paolo64@gmail.com","255-727-3078 x4486","9144 Breanna Rest Suite 856","2025-10-16"
"39","Ms. Roxanne Padberg","Lucy.Kiehn70@yahoo.com","251.807.7466","376 Orn Spur Suite 819","2022-04-09"
"40","Elizabeth Dare","Cordell_Zieme77@hotmail.com","1-783-848-0525 x243","26948 Nightingale Close Apt. 169","2023-12-03"
"41","Michael Gerhold-Gibson","Francesco_Jakubowski30@hotmail.com","1-507-680-9534 x4984","81923 Shad Island Suite 180","2024-06-12"
"42","Minnie Greenholt","Ari_Marvin@hotmail.com","(507) 470-6210 x022","1309 Turner Well Apt. 208","2021-08-19"
"43","Minnie Gorczany","Whitney_Will99@gmail.com","(649) 254-8044 x446","92745 Kirlin Heights Apt. 962","2025-01-09"
"44","Richard Wiegand","Ephraim_OConner40@yahoo.com","293.923.0036 x48210","75048 Wiza Fort Suite 699","2024-07-30"
"45","Lillie McKenzie","Jessy54@yahoo.com","(928) 413-5301","60639 Hickle Ranch Suite 653","2021-04-04"
"46","Craig Powlowski Jr.","Natalie_Romaguera@hotmail.com","407-329-5726 x096","880 Terry Common Suite 729","2024-08-30"
"47","Brandi Schowalter","Daniela.Hoppe@yahoo.com","(849) 771-0542 x5944","40459 Ritchie Locks Apt. 648","2022-02-16"
"48","Emmett Durgan V","Maritza.Kirlin@yahoo.com","(603) 470-2022","83052 Bettie Harbor Apt. 250","2025-09-06"
"49","Megan Johns","Odell.Bednar17@hotmail.com","1-896-241-8689","338 Barton Road Suite 438","2023-04-06"
"50","Mr. Elijah Dach DVM","Leora.Prosacco43@hotmail.com","655.402.5355 x20031","9605 W North Street Apt. 278","2022-04-14"
"51","Ms. Kelli Grady","Dillan.Sauer97@yahoo.com","608-903-9988 x39364","372 Vincenzo Ferry Apt. 459","2024-09-03"
"52","Mrs. Lola Bailey","Loy.Gleichner20@gmail.com","(653) 827-7970 x899","68991 Caleigh Park Apt. 319","2024-03-09"
"53","Cameron Olson","Walter_Walker@yahoo.com","844.314.4217","14283 Aspen Close Suite 799","2025-04-11"
