"transaction_id","customer_id","account_number","account_type","transaction_timestamp","transaction_amount","transaction_type","counterparty_name","counterparty_account"
"1","406","66711277","Savings","2024-12-31T15:04:03.480000+00:00","1050.53","Credit","Ms. Lola Haley","95225914"
"2","317","42062695","Savings","2025-08-02T18:56:38.524000+00:00","527.26","Debit","Erdman Inc","36903520"
"3","117","37546949","Checking","2025-07-04T09:39:31.595000+00:00","3494.41","Credit","Janis Abshire","40351441"
"4","291","30709530","Checking","2025-06-16T02:10:35.122000+00:00","1874.16","Debit","Boehm - Hane","42086969"
"5","18","84917981","Savings","2025-01-25T21:21:58.317000+00:00","4747.18","Debit","",""
"6","326","65311171","Checking","2025-06-10T02:05:32.609000+00:00","156.69","Credit","Edwin Rosenbaum DDS","54865569"
"7","383","12944121","Savings","2025-05-02T04:10:19.562000+00:00","4509.43","Credit","Leslie Kemmer V","87385054"
"8","485","57534523","Loan","2025-10-05T15:11:36.194000+00:00","2284.09","Debit","Tromp Inc","41225128"
"9","354","14385933","Checking","2025-04-03T05:38:17.483000+00:00","1108.97","Credit","Gilberto Brown","64708625"
"10","62","71713639","Savings","2025-01-16T12:55:25.562000+00:00","4137.61","Debit","",""
"11","499","22214639","Loan","2025-02-24T10:24:12.386000+00:00","4553.92","Debit","",""
"12","322","56959137","Savings","2025-06-11T21:34:36.107000+00:00","1643.51","Debit","Ritchie - Farrell","83009162"
"13","340","32529431","Savings","2025-10-05T13:15:44.286000+00:00","4884.56","Debit","Weber, Sporer and Rowe","18000248"
"14","92","38494463","Checking","2025-04-10T21:07:53.701000+00:00","1122.94","Credit","",""
"15","100","27590085","Savings","2025-09-15T03:10:28.858000+00:00","1354.71","Credit","Myron Kreiger","16341333"
"16","364","66917259","Loan","2025-01-29T19:17:09.300000+00:00","3902.61","Debit","Hansen, Schiller and Labadie","67867043"
"17","326","25938569","Savings","2024-11-25T21:21:55.482000+00:00","2493.7","Debit","Prohaska Inc","19907589"
"18","29","97048589","Savings","2025-05-15T04:34:02.361000+00:00","1309.88","Credit","Katrina Skiles","86326592"
"19","62","71713639","Savings","2025-08-01T04:38:38.640000+00:00","2514.46","Debit","Altenwerth - Fritsch","8923505"
"20","364","66917259","Loan","2025-07-23T23:55:35.866000+00:00","3337.16","Debit","Schoen Inc","18854052"
"21","131","5942652","Savings","2025-09-06T09:32:27.736000+00:00","1952.55","Credit","Sheryl Maggio PhD","85792283"
"22","499","22214639","Loan","2025-04-13T10:49:55.679000+00:00","4659.55","Credit","",""
"23","245","34003351","Savings","2024-12-30T20:22:45.803000+00:00","4684.42","Debit","Miller - Beer","66268450"
"24","391","27568130","Checking","2025-05-23T10:49:58.821000+00:00","3200.62","Credit","Ora Aufderhar","30302405"
"25","22","73662232","Checking","2025-09-13T08:07:35.474000+00:00","3918.05","Debit","",""
"26","445","77955219","Savings","2024-12-12T09:49:19.025000+00:00","4724.6","Credit","",""
"27","254","34280545","Loan","2025-05-04T21:14:42.403000+00:00","4274.13","Debit","",""
"28","87","15101948","Checking","2024-11-21T14:11:30.185000+00:00","1576.21","Debit","Weissnat Inc","52240114"
"29","469","54277498","Checking","2025-09-24T13:52:32.432000+00:00","2602.53","Debit","",""
"30","331","5905630","Checking","2025-01-14T23:14:46.998000+00:00","1083.16","Credit","Pat Trantow","72230491"
"31","243","27524530","Savings","2025-06-05T00:44:10.906000+00:00","458.19","Debit","Vandervort - Stark","86477902"
"32","175","52032355","Savings","2025-05-29T00:37:01.329000+00:00","519.1","Debit","",""
"33","332","61394140","Loan","2025-10-09T09:11:43.311000+00:00","2648.51","Debit","",""
"34","144","31677286","Savings","2025-04-10T20:25:32.438000+00:00","1502.04","Credit","Arturo O'Connell","2192183"
"35","176","96227418","Savings","2024-12-24T05:30:21.441000+00:00","928.74","Credit","",""
"36","424","53761477","Loan","2025-08-29T14:34:15.748000+00:00","3590.9","Credit","Julie Kris","11368563"
"37","152","81002631","Loan","2025-02-24T16:27:08.416000+00:00","204.24","Debit","Lowe, Schneider and Howell","46912319"
"38","89","31456469","Checking","2025-09-03T15:34:52.096000+00:00","541.76","Debit","",""
"39","230","16294357","Savings","2024-11-08T18:37:14.717000+00:00","956.07","Credit","",""
"40","65","67386093","Loan","2025-09-10T12:36:41.343000+00:00","3533.54","Credit","",""
"41","119","43628790","Loan","2024-11-14T18:27:16.975000+00:00","3595.73","Credit","",""
"42","417","99598029","Loan","2025-07-04T10:46:25.477000+00:00","2652.31","Credit","",""
"43","481","7669574","Loan","2025-03-13T04:21:29.190000+00:00","4529.31","Credit","Alejandro Carroll","1440049"
"44","323","19224816","Savings","2025-04-26T01:13:57.789000+00:00","4914.29","Debit","Cartwright - Russel","87154172"
"45","86","14705385","Loan","2025-08-18T14:25:39.280000+00:00","1181.85","Debit","",""
"46","259","25299488","Loan","2025-07-30T15:21:56.591000+00:00","4437.26","Debit","Schumm, Rohan and Berge","89609889"
"47","222","32039444","Savings","2024-12-24T21:13:20.267000+00:00","924.35","Debit","Kuhn - Hermiston","70747035"
"48","224","65576439","Loan","2025-06-26T05:36:24.936000+00:00","2597.68","Debit","Hyatt - Lehner","65243612"
"49","34","66839412","Loan","2025-09-01T02:32:20.831000+00:00","3437.4","Debit","",""
"50","191","13938374","Checking","2024-10-23T06:10:42.349000+00:00","3794.8","Credit","Mark Gulgowski I","56038413"
"51","471","32908067","Savings","2025-03-02T11:11:17.450000+00:00","3715.94","Debit","",""
"52","231","28974399","Savings","2025-03-03T22:01:40.734000+00:00","333.73","Debit","Mohr, Doyle and Green","90479988"
"53","124","44289729","Loan","2024-11-22T08:10:51.731000+00:00","1969.96","Credit","Edward Schmitt-Franey","36044190"
"54","339","96451149","Loan","2025-02-02T13:34:41.261000+00:00","2806.99","Debit","",""
"55","77","11483080","Checking","2025-04-13T12:20:39.215000+00:00","4980.5","Debit","Cartwright - Ernser","6715530"
