"transaction_id","customer_id","account_number","account_type","transaction_timestamp","transaction_amount","transaction_type","counterparty_name","counterparty_account"
"1","352","ACC003521175","Savings","2025-07-03T09:57:15.586414+00:00","1718.25","Debit","Lyft","EXT190146"
"2","445","ACC004452175","Checking","2025-07-12T10:29:15.586484+00:00","4624.52","Credit","Tech Solutions","EXT602712"
"3","149","ACC001497503","Checking","2025-02-27T08:43:15.586513+00:00","3000.54","Debit","Verizon","EXT126598"
"4","26","ACC000263383","Checking","2025-04-28T13:25:15.586534+00:00","4200.93","Debit","Walgreens","EXT203102"
"5","363","ACC003632678","Savings","2024-11-08T21:12:15.586553+00:00","3586.7","Debit","Water Utility","EXT801735"
"6","484","ACC004843757","Checking","2025-10-26T13:54:15.586574+00:00","1337.42","Debit","Internet Provider","EXT961096"
"7","245","ACC002456275","Savings","2025-03-26T23:51:15.586591+00:00","4401.77","Credit","ABC Corp","EXT992316"
"8","156","ACC001567609","Checking","2025-03-23T00:22:15.586609+00:00","4855.12","Debit","Jane Smith","EXT436482"
"9","53","ACC000537915","Savings","2025-01-25T19:07:15.586630+00:00","1102.73","Credit","Starbucks","EXT773595"
"10","140","ACC001408470","Checking","2024-12-09T09:20:15.586647+00:00","3037.58","Debit","DoorDash","EXT880415"
"11","393","ACC003936226","Checking","2025-08-23T23:39:15.586665+00:00","678.64","Debit","Target","EXT985558"
"12","70","ACC000707498","Checking","2024-12-13T21:56:15.586682+00:00","4211.47","Debit","Water Utility","EXT773871"
"13","324","ACC003248755","Checking","2025-01-23T23:02:15.586701+00:00","58.2","Credit","Apple","EXT393742"
"14","10","ACC000102185","Checking","2025-08-17T23:05:15.586718+00:00","2701.18","Credit","John Doe","EXT739017"
"15","323","ACC003234223","Savings","2025-01-24T06:39:15.586735+00:00","59.2","Debit","GrubHub","EXT429462"
"16","219","ACC002199346","Savings","2025-04-13T04:07:15.586755+00:00","3373.73","Debit","Best Buy","EXT313257"
"17","387","ACC003878815","Checking","2025-08-09T22:40:15.586773+00:00","714.27","Debit","Whole Foods","EXT287878"
"18","212","ACC002125504","Checking","2025-04-28T20:00:15.586792+00:00","3269.91","Credit","Netflix","EXT432612"
"19","395","ACC003951306","Checking","2024-12-22T23:10:15.586816+00:00","4555.74","Debit","Gas Company","EXT338550"
"20","61","ACC000612356","Checking","2025-07-08T07:31:15.586833+00:00","4095.15","Credit","Bob Johnson","EXT478602"
